tti,scheduler,throughput_rb,fairness
0,PF,5,1
1,PF,5,1
2,PF,5,1
3,PF,5,1
4,PF,5,1
5,PF,5,1
6,PF,5,1
7,PF,5,1
8,PF,5,1
9,PF,5,1
10,PF,5,1
11,PF,5,1
12,PF,5,1
13,PF,5,1
14,PF,5,1
15,PF,0,1
16,PF,0,1
17,PF,5,1
18,PF,0,1
19,PF,0,1
20,PF,3,0.99913
21,PF,2,1
22,PF,0,1
23,PF,0,1
24,PF,5,1
25,PF,0,1
26,PF,0,1
27,PF,5,1
28,PF,0,1
29,PF,0,1
30,PF,5,1
31,PF,0,1
32,PF,0,1
33,PF,1,0.999608
34,PF,4,1
35,PF,0,1
36,PF,3,0.999486
37,PF,2,1
38,PF,0,1
39,PF,2,0.999522
40,PF,3,1
41,PF,0,1
42,PF,1,0.999703
43,PF,4,1
44,PF,0,1
45,PF,0,1
46,PF,5,1
47,PF,0,1
48,PF,0,1
49,PF,5,1
50,PF,0,1
51,PF,2,0.999656
52,PF,3,1
53,PF,0,1
54,PF,5,1
55,PF,0,1
56,PF,0,1
57,PF,2,0.999703
58,PF,3,1
59,PF,0,1
60,PF,2,0.999722
61,PF,3,1
62,PF,0,1
63,PF,0,1
64,PF,2,0.99974
65,PF,3,1
66,PF,0,1
67,PF,1,0.999836
68,PF,2,0.99976
69,PF,2,1
70,PF,0,1
71,PF,2,0.999771
72,PF,3,1
73,PF,0,1
74,PF,0,1
75,PF,2,0.999785
76,PF,3,1
77,PF,0,1
78,PF,2,0.999797
79,PF,3,1
80,PF,0,1
81,PF,2,0.999809
82,PF,3,1
83,PF,0,1
84,PF,1,0.999878
85,PF,2,0.999821
86,PF,2,1
87,PF,0,1
88,PF,3,0.99983
89,PF,0,0.99983
90,PF,2,1
91,PF,2,0.999837
92,PF,1,0.999839
93,PF,2,1
94,PF,0,1
95,PF,2,0.999845
96,PF,3,1
97,PF,0,1
98,PF,2,0.999853
99,PF,1,0.999854
